#      step        H        error
931           -0.435491          0.00311982
932            -0.44629          0.00229324
933           -0.441877          0.00296265
934           -0.438267          0.00324599
935            -0.44153          0.00255079
936           -0.436957          0.00326786
937           -0.439202          0.00335843
938            -0.44533          0.00244526
939            -0.44517          0.00273658
940           -0.445668          0.00282579
941           -0.441578          0.00307045
942           -0.443448          0.00229786
943           -0.444198          0.00267687
944            -0.44055          0.00299023
945           -0.440422           0.0027898
946           -0.445952          0.00233966
947            -0.43992          0.00304513
948           -0.442058          0.00271362
949           -0.445646          0.00307723
950           -0.435193          0.00325406
951           -0.434876          0.00360353
952           -0.430044          0.00421994
953             -0.4376          0.00303934
954            -0.43894          0.00359122
955           -0.430905          0.00383368
956           -0.439279          0.00237629
957           -0.442397          0.00269471
958           -0.440474          0.00400575
959           -0.445111          0.00314618
960           -0.443081          0.00303771
961            -0.44162          0.00326518
962           -0.433063          0.00297427
963           -0.439697          0.00286257
964           -0.445324          0.00281597
965           -0.441623          0.00279405
966           -0.434652          0.00303211
967           -0.433892          0.00314464
968           -0.425602          0.00362538
969           -0.434394          0.00399262
970           -0.441981           0.0025917
971           -0.439352          0.00275186
972           -0.435235          0.00264429
973           -0.443587          0.00275645
974           -0.441296          0.00268034
975           -0.445312          0.00255767
976            -0.44109          0.00277076
977           -0.442684          0.00292667
978           -0.435397          0.00251981
979            -0.44283          0.00273396
980           -0.441731          0.00250814
981           -0.439639          0.00283535
982            -0.43146           0.0029105
983           -0.434858          0.00331856
984           -0.429903          0.00318092
985           -0.442003          0.00285655
986             -0.4324          0.00260159
987           -0.431149           0.0028374
988           -0.432935          0.00329483
989           -0.428782          0.00296273
990           -0.438037          0.00273103
991            -0.42017          0.00334672
992           -0.441996          0.00255425
993           -0.439126          0.00296639
994           -0.433604          0.00303269
995           -0.443195          0.00278103
996           -0.438998          0.00253495
