#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         617     -0.6736   -0.455519  0.00495079
         618     -0.3576   -0.455361  0.00494531
         619     -0.5976    -0.45559  0.00494266
         620     -0.5208   -0.455695   0.0049358
         621     -0.5192   -0.455798  0.00492892
         622      -0.676   -0.456152  0.00493369
         623     -0.6752   -0.456503  0.00493828
         624     -0.4368   -0.456472  0.00493047
         625     -0.4384   -0.456443  0.00492267
         626     -0.2792    -0.45616  0.00492294
         627        -0.6   -0.456389  0.00492043
         628     -0.5216   -0.456493  0.00491369
         629     -0.4424   -0.456471  0.00490593
         630     -0.1216   -0.455939  0.00492685
         631     -0.4432   -0.455919  0.00491909
         632     -0.5224   -0.456024  0.00491243
         633     -0.5272   -0.456136  0.00490595
         634       -0.36   -0.455985  0.00490056
         635     -0.4384   -0.455957  0.00489292
         636     -0.5184   -0.456055  0.00488621
         637     -0.5208   -0.456157   0.0048796
         638     -0.4384   -0.456129  0.00487203
         639      -0.356   -0.455972  0.00486692
         640     -0.3568   -0.455818  0.00486178
         641       -0.44   -0.455793  0.00485426
         642      -0.516   -0.455887  0.00484761
         643     -0.5976   -0.456107  0.00484507
         644     -0.5184   -0.456204  0.00483852
         645     -0.5168   -0.456298  0.00483193
         646       -0.52   -0.456396  0.00482545
         647     -0.6032   -0.456623  0.00482333
         648     -0.4408   -0.456599  0.00481595
         649     -0.5256   -0.456705   0.0048097
         650     -0.6096    -0.45694  0.00480805
         651     -0.6944   -0.457305  0.00481448
         652      -0.776   -0.457794  0.00483184
         653     -0.3712   -0.457661  0.00482626
         654      -0.452   -0.457653  0.00481889
         655     -0.5304   -0.457764  0.00481281
         656      -0.532   -0.457877  0.00480681
         657     -0.2048   -0.457492   0.0048149
         658     -0.5224    -0.45759  0.00480859
         659     -0.4424   -0.457567  0.00480135
         660     -0.4432   -0.457545  0.00479413
         661     -0.4472    -0.45753   0.0047869
         662     -0.5256   -0.457633  0.00478077
         663       -0.44   -0.457606  0.00477364
